"Class","Total Time"
"3C","2h 23m 27s"
"4B","46m 47s"
"4C","1m 43s"
"4D","50m 58s"
"4E","5h 1m 41s"
"5A","17h 39m 27s"
"5B","8h 55m 27s"
"5C","1h 10m 18s"
"5D","2h 59s"
"5E","2h 59m 54s"
"5F","21m 16s"
"6A","10m 55s"
"6B","5h 58m 22s"
"6C","12h 59m 56s"
"6D","12h 34m 6s"
"6E","3h 40m 41s"
"7A","53m 54s"
"7B","14h 46m 13s"
"7C","1d 7h 58m 28s"
"7D","9h 48m 16s"
"7E","1d 12h 1m 11s"
"7F","6h 56m 55s"
